,ch_names
0,RAF_2-1
1,RAF_3-2
2,RAF_4-3
3,RAF_5-4
4,RAF_6-5
5,RAF_7-6
6,RAF_8-7
7,RMC_3-2
8,RMC_4-3
9,RMC_5-4
10,RMC_6-5
11,RMC_7-6
12,RMC_8-7
13,RMH_2-1
14,RMH_3-2
15,RMH_4-3
16,RMH_5-4
17,RMH_6-5
18,RMH_7-6
19,RAC_2-1
20,RAC_3-2
21,RAC_4-3
22,RAC_5-4
23,RAC_6-5
24,RAC_7-6
25,RAC_8-7
26,RCAUD_2-1
27,RCAUD_3-2
28,RCAUD_4-3
29,RCAUD_5-4
30,RCAUD_6-5
31,RCAUD_7-6
32,RCAUD_8-7
33,RA_2-1
34,RA_3-2
35,RA_4-3
36,RA_5-4
37,RA_6-5
38,RA_7-6
39,RA_8-7
40,REC_2-1
41,REC_3-2
42,REC_4-3
43,REC_5-4
44,REC_6-5
45,REC_7-6
46,REC_8-7
