ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
13.0,1.0,0.2,1250,5,1.0,0.9,0.6,0.7595238095238095
19.0,0.9,0.05,750,3,1.0,0.9,0.7,0.7124542124542124
41.0,0.8,0.3,100,1,1.0,0.9,0.9,0.6864801864801864
0.0,0.8,0.2,1500,1,0.1,1.0,0.7,0.6845820845820846
45.0,0.7,0.05,750,5,1.0,1.0,0.6,0.6605237899355546
18.0,0.6,0.3,250,5,0.25,0.9,0.8,0.6536130536130536
31.0,0.6,0.25,100,5,0.25,0.6,1.0,0.6519480519480518
32.0,0.8,0.2,1500,3,1.0,0.8,0.9,0.6306959706959707
36.0,0.6,0.05,1000,1,0.05,0.6,0.6,0.6297435897435897
46.0,0.9,0.05,500,1,0.5,0.8,0.8,0.6229437229437229
44.0,0.7,0.1,1250,3,1.0,0.8,1.0,0.6223443223443222
14.0,0.9,0.1,250,4,1.0,0.9,0.8,0.6125213675213675
48.0,1.0,0.2,100,3,0.25,0.6,0.6,0.6100432900432899
27.0,1.0,0.2,100,3,0.5,1.0,1.0,0.5945098039215686
22.0,0.8,0.1,100,2,1.0,0.9,0.6,0.593202614379085
3.0,1.0,0.3,1500,3,1.0,0.8,0.7,0.5902813852813853
51.0,1.0,0.05,750,4,0.05,0.6,0.9,0.5854545454545453
1.0,0.8,0.1,750,3,0.1,0.9,0.7,0.5846153846153846
28.0,1.0,0.2,750,1,0.5,1.0,0.7,0.5798951048951049
40.0,1.0,0.25,500,4,1.0,1.0,0.6,0.5786813186813187
9.0,0.6,0.15,500,3,0.1,0.7,1.0,0.5772960372960372
26.0,0.6,0.25,1000,4,0.5,0.9,0.9,0.573076923076923
42.0,1.0,0.15,100,4,1.0,1.0,0.8,0.5717282717282717
25.0,0.6,0.15,1500,3,0.5,0.9,0.6,0.5710955710955711
50.0,0.7,0.2,100,1,1.0,0.7,0.9,0.568997668997669
35.0,1.0,0.15,1500,2,1.0,1.0,0.7,0.5681318681318681
10.0,0.9,0.05,1250,1,1.0,0.9,0.6,0.5619047619047619
5.0,0.8,0.15,500,5,0.5,0.7,0.7,0.5616883116883117
52.0,0.9,0.25,1500,4,1.0,0.8,0.8,0.5613053613053613
38.0,0.8,0.3,750,1,1.0,0.7,0.8,0.5567016317016316
16.0,1.0,0.05,250,1,1.0,0.9,0.7,0.5552380952380952
20.0,0.7,0.15,1250,1,1.0,0.9,0.6,0.5535930735930735
15.0,0.9,0.05,500,5,1.0,1.0,0.6,0.5466666666666666
30.0,1.0,0.3,100,5,0.25,1.0,0.8,0.5464335664335663
29.0,0.8,0.1,750,3,1.0,0.9,0.9,0.5428507165349272
21.0,0.8,0.15,1000,3,1.0,0.6,0.6,0.5399267399267399
4.0,0.8,0.25,250,3,1.0,0.9,0.8,0.5373626373626375
49.0,0.7,0.15,1500,1,0.25,0.8,0.8,0.5363636363636364
39.0,0.7,0.2,250,3,0.5,1.0,0.6,0.5335664335664335
2.0,0.6,0.1,1000,1,0.5,1.0,0.8,0.5322344322344322
24.0,0.6,0.3,500,5,1.0,0.6,1.0,0.5273173884938591
23.0,0.7,0.2,1250,4,0.5,0.8,0.7,0.5262184873949579
8.0,1.0,0.25,1250,3,1.0,0.6,1.0,0.5112820512820513
11.0,0.9,0.2,1250,5,1.0,0.6,0.8,0.5057142857142857
53.0,0.6,0.15,1250,1,0.5,0.9,0.8,0.503901098901099
47.0,0.8,0.25,500,2,1.0,0.6,0.7,0.5029793735676089
17.0,0.7,0.3,1000,1,1.0,0.6,0.6,0.5007575757575757
7.0,0.8,0.2,500,1,1.0,0.6,0.8,0.5004884004884005
37.0,0.8,0.1,250,2,0.5,0.9,0.8,0.5003885003885004
43.0,0.6,0.2,1000,2,1.0,0.8,1.0,0.4976356976356976
12.0,0.9,0.25,750,5,1.0,0.6,0.9,0.48810160427807486
33.0,0.7,0.2,500,1,1.0,0.7,0.9,0.4542857142857143
34.0,0.9,0.3,500,2,1.0,1.0,0.9,0.4459324009324009
6.0,0.6,0.3,750,3,0.5,0.6,0.8,0.43353535353535355
