subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
0.9,0.1,250,1,0.1,0.7,0.7,0.7013186813186814
0.9,0.1,100,5,0.25,0.6,0.6,0.6941724941724943
0.7,0.25,250,5,0.5,0.8,1.0,0.6904761904761905
0.7,0.05,1000,5,0.5,0.9,0.6,0.6659673659673659
1.0,0.25,100,3,0.05,0.9,1.0,0.6478721278721278
1.0,0.05,500,3,1.0,0.8,0.6,0.6452057746175394
0.9,0.1,1250,3,1.0,0.6,0.6,0.6427350427350428
0.8,0.05,1250,1,1.0,0.6,0.8,0.6326007326007327
0.7,0.2,1250,1,1.0,0.8,0.7,0.6267732267732267
0.7,0.25,250,5,0.5,0.9,0.8,0.6140836940836941
1.0,0.25,1000,3,0.25,0.7,0.8,0.6112554112554112
0.9,0.2,500,1,1.0,0.7,0.6,0.6105011655011655
0.7,0.1,100,4,1.0,1.0,1.0,0.6048951048951049
0.8,0.3,100,3,1.0,0.9,0.9,0.6007575757575757
0.7,0.3,100,4,0.5,0.8,0.8,0.6002997002997004
1.0,0.25,1500,5,0.25,0.9,0.8,0.595582848524025
0.7,0.2,1250,2,1.0,0.8,1.0,0.5931734931734931
0.8,0.1,500,1,0.5,0.7,0.9,0.592927072927073
0.8,0.1,500,5,1.0,0.9,0.8,0.590920060331825
0.6,0.1,100,2,0.5,1.0,0.7,0.5862271062271062
0.7,0.2,100,4,1.0,1.0,0.6,0.5800865800865801
0.6,0.05,750,5,0.25,1.0,0.6,0.58
1.0,0.2,1000,3,0.5,0.7,0.7,0.5753846153846155
0.6,0.05,1500,2,0.5,0.9,0.7,0.5742701742701743
0.9,0.15,1500,1,1.0,0.9,0.6,0.5737878787878787
0.8,0.1,500,2,0.05,0.8,0.8,0.5733116883116882
1.0,0.05,1500,5,0.25,0.9,0.7,0.5723479135243841
0.9,0.3,1250,2,1.0,1.0,0.6,0.5706959706959707
1.0,0.2,750,2,1.0,0.7,0.7,0.5686313686313686
0.7,0.3,1250,2,1.0,0.8,1.0,0.5630769230769231
0.9,0.25,1500,1,0.5,1.0,0.6,0.563076923076923
0.8,0.15,100,2,1.0,0.6,0.9,0.5606837606837607
0.9,0.15,1000,3,1.0,1.0,0.7,0.5532201132201131
0.8,0.05,250,4,0.5,0.6,0.6,0.5440986790986791
0.6,0.25,750,5,0.25,0.6,0.6,0.5421245421245421
0.6,0.2,1250,3,1.0,0.6,0.9,0.534029304029304
0.7,0.05,1500,1,1.0,1.0,1.0,0.5333313745078451
0.7,0.2,750,5,1.0,0.7,0.6,0.5288358700123406
0.7,0.25,1250,1,0.25,0.8,0.9,0.5266733266733266
0.6,0.05,1250,1,1.0,0.7,0.9,0.5260989010989011
0.8,0.1,1250,4,0.1,0.8,0.6,0.5255844155844156
0.9,0.1,100,3,1.0,0.7,0.9,0.5123809523809524
0.9,0.1,750,4,1.0,0.7,0.8,0.507965367965368
1.0,0.2,500,3,1.0,0.7,0.6,0.5033613445378151
0.8,0.1,100,4,1.0,1.0,0.8,0.498901098901099
0.7,0.2,1500,2,0.5,0.6,1.0,0.4943856143856144
0.6,0.1,1000,4,1.0,0.9,0.8,0.4935531135531135
0.6,0.25,1250,1,1.0,0.9,1.0,0.491965811965812
0.9,0.2,250,1,1.0,0.6,0.9,0.48537296037296035
0.7,0.2,500,2,0.5,0.9,0.8,0.4812987012987013
0.6,0.05,1000,2,1.0,0.8,0.9,0.4804195804195803
0.7,0.05,100,2,1.0,1.0,0.6,0.4741258741258741
0.7,0.3,1000,2,1.0,0.6,1.0,0.45386639504286563
0.6,0.15,1000,2,0.5,1.0,0.8,0.41595238095238096
