ch_number,tol,max_iter,C,f1-score
47.0,0.0001,100,0.2,0.7280204342273308
2.0,0.005,100,0.01,0.7007727756114853
49.0,0.001,100,0.2,0.6996977216332055
28.0,0.005,100,0.1,0.6995154730327144
42.0,0.0002,100,0.01,0.698890756302521
22.0,0.0002,500,0.1,0.6866506112023354
36.0,2e-05,100,0.02,0.6831215106732348
43.0,0.0005,500,0.01,0.6826136826136826
33.0,0.0005,100,0.1,0.6800702917771884
8.0,0.0002,100,0.01,0.6770636889991729
5.0,2e-05,100,0.1,0.6755665024630542
37.0,2e-05,100,0.01,0.6712234432234432
6.0,0.005,100,0.01,0.6678960473078119
39.0,0.0005,100,0.01,0.6668734228734229
45.0,0.0005,100,1,0.6613136645962733
38.0,5e-05,100,0.01,0.6602897987770067
50.0,0.002,200,1,0.6574384236453202
23.0,5e-05,100,0.01,0.6556746242263485
24.0,0.0001,200,0.5,0.6522181522181523
1.0,0.005,100,0.01,0.649448275862069
11.0,0.001,100,0.5,0.6447380952380952
9.0,0.0001,100,0.5,0.643928338953923
25.0,0.001,100,0.01,0.6419208173690933
46.0,0.005,100,0.01,0.6412647274377699
32.0,0.005,100,0.05,0.6404086284086284
44.0,0.002,2000,0.02,0.640401807643187
31.0,0.001,100,0.01,0.6353179723502305
29.0,1e-05,100,0.05,0.6347737421611774
40.0,0.0002,100,0.01,0.6336263736263736
27.0,0.005,100,0.01,0.6308878648233487
0.0,0.005,200,10,0.6259961215255333
18.0,2e-05,200,0.1,0.6255057059283977
4.0,0.002,100,0.01,0.6245859213250518
35.0,0.0002,100,0.05,0.6185491169172382
13.0,5e-05,100,0.5,0.616656504785537
41.0,0.0001,500,0.01,0.6159544159544159
19.0,0.0002,200,0.01,0.6112525879917184
7.0,1e-05,200,0.02,0.6056239692985836
12.0,5e-05,100,2,0.6051226551226552
10.0,0.0001,100,0.02,0.6031708980674498
30.0,0.001,100,5,0.5892946859903383
21.0,0.0002,200,0.2,0.5757178305565402
48.0,2e-05,500,1,0.5627187627187628
14.0,0.001,100,0.01,0.5559265010351968
20.0,1e-05,100,0.02,0.5532019704433496
3.0,1e-05,200,0.2,0.5485295813631645
16.0,0.005,100,0.01,0.544471264367816
17.0,0.001,100,0.1,0.541110297110297
34.0,0.005,100,0.02,0.5363247863247864
15.0,0.005,100,0.01,0.5352202580028667
26.0,0.005,100,0.01,0.5291210960176478
