ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
40.0,0.9,0.15,250,3,0.05,0.8,0.7,0.8042809364548497
7.0,0.9,0.2,750,5,0.05,0.8,0.7,0.7926218708827404
31.0,0.7,0.3,500,4,0.1,0.9,0.9,0.7917184265010352
38.0,0.8,0.05,1000,3,1.0,0.9,0.6,0.7673670341862561
11.0,0.7,0.2,100,5,0.05,0.8,0.6,0.7656152832674572
8.0,0.7,0.15,750,3,0.25,0.6,1.0,0.763184641445511
41.0,0.6,0.25,1000,1,0.25,0.6,0.7,0.7594616977225672
18.0,0.8,0.05,250,5,1.0,0.8,0.7,0.7577616769195717
1.0,0.7,0.1,100,3,0.1,0.8,1.0,0.7530909090909091
15.0,0.6,0.05,500,3,0.25,0.6,0.6,0.7528985507246377
20.0,0.7,0.3,100,2,0.1,0.8,0.9,0.7442781855825334
35.0,0.9,0.15,500,4,0.25,0.9,0.6,0.7429249011857708
2.0,1.0,0.05,250,5,0.05,0.6,0.6,0.7413043478260869
0.0,0.6,0.25,750,3,0.25,1.0,0.7,0.7346103172190127
24.0,0.9,0.15,100,1,0.05,0.9,0.8,0.7328005328005328
19.0,0.6,0.25,500,2,0.1,0.7,0.6,0.7327878787878788
14.0,1.0,0.3,250,1,0.05,1.0,0.7,0.7306666666666667
22.0,1.0,0.2,500,5,0.05,0.7,0.9,0.7305128205128204
17.0,0.6,0.25,1250,5,0.5,0.7,0.8,0.7262775119617224
3.0,0.9,0.25,250,2,0.5,1.0,0.8,0.7225989875875459
16.0,0.6,0.05,100,1,0.5,0.6,0.7,0.7220591003199698
28.0,0.6,0.3,500,3,0.25,1.0,0.8,0.719855072463768
30.0,0.9,0.2,1250,1,1.0,0.6,0.8,0.7147826086956521
43.0,0.7,0.2,750,1,0.5,0.8,0.9,0.7144400527009223
5.0,0.6,0.3,250,1,0.1,0.9,0.6,0.714163372859025
27.0,0.9,0.2,100,1,0.1,0.9,1.0,0.714115514115514
39.0,1.0,0.2,1000,3,0.5,0.7,0.7,0.7115151515151515
33.0,0.7,0.05,1500,3,0.25,1.0,0.7,0.7090909090909091
21.0,0.7,0.1,500,3,0.5,0.8,1.0,0.7088274044795784
42.0,0.8,0.25,1500,2,0.1,1.0,0.8,0.708036166731819
36.0,0.6,0.2,100,1,0.1,0.7,0.7,0.7069828722002636
6.0,0.6,0.05,1250,5,0.25,0.7,0.7,0.703006993006993
25.0,0.6,0.1,100,3,0.1,0.9,1.0,0.7002635046113307
29.0,1.0,0.15,100,2,0.05,0.7,0.7,0.6971132178271766
9.0,1.0,0.25,1500,2,1.0,1.0,0.8,0.6964238659890833
32.0,0.6,0.1,100,5,0.05,0.8,0.8,0.6960875420875421
26.0,0.7,0.25,250,4,1.0,0.7,1.0,0.696060606060606
4.0,0.8,0.15,1500,5,0.25,0.9,0.8,0.6927157190635451
10.0,0.6,0.25,100,4,0.1,0.6,1.0,0.6915113871635611
23.0,0.8,0.25,100,5,0.05,0.9,0.8,0.689846153846154
12.0,0.9,0.25,1000,2,0.25,0.6,0.8,0.6884664031620554
37.0,0.7,0.2,1250,5,1.0,0.7,0.7,0.6851910408432147
13.0,0.9,0.25,750,4,0.5,0.8,0.9,0.6742857142857142
34.0,0.6,0.05,1000,5,0.25,1.0,0.9,0.6530909090909092
