ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
19.0,2,1,1,0.7047619047619047
5.0,4,1,3,0.7030478156174752
0.0,10,1,7,0.7017035341978133
43.0,8,1,15,0.6947474747474748
36.0,10,3,14,0.6854507811029549
44.0,10,4,11,0.675326797385621
16.0,2,3,11,0.6700000000000002
32.0,2,3,12,0.6644134846921224
24.0,4,3,5,0.6622572473965663
7.0,8,1,12,0.6614801263408074
22.0,10,1,5,0.6601066391468867
15.0,8,1,2,0.6528255933952529
12.0,6,1,13,0.651936704506364
50.0,8,4,9,0.6418941739375177
8.0,6,1,15,0.6409622541201488
2.0,10,1,6,0.6408354646206309
3.0,8,1,9,0.6399346405228757
55.0,2,3,8,0.6269018133569217
30.0,2,2,2,0.6256565656565657
17.0,8,3,8,0.6250495804729214
20.0,4,1,5,0.6248705542823191
49.0,6,3,7,0.6197729618163054
45.0,10,1,13,0.6174120362221049
9.0,2,1,3,0.6151113076809672
13.0,6,1,7,0.6145768833849329
33.0,6,3,10,0.6140213278293774
41.0,2,3,9,0.608875128998968
39.0,10,1,12,0.6084033613445378
53.0,8,4,8,0.6076367389060888
35.0,10,1,9,0.598077546808197
48.0,10,2,8,0.5962091503267974
27.0,10,4,6,0.5947904180741709
28.0,2,4,3,0.5938065481429327
40.0,4,3,13,0.5822821760283061
58.0,10,1,2,0.5814487198388127
18.0,6,1,6,0.5806948744410045
11.0,10,1,3,0.5806939022748688
23.0,10,4,5,0.58
6.0,4,1,2,0.5775403818747472
25.0,8,1,12,0.577296181630547
10.0,8,1,3,0.5771929824561403
51.0,6,2,3,0.5721212121212121
21.0,2,2,13,0.5662443438914029
31.0,2,1,8,0.5576315789473684
52.0,4,2,3,0.5552941176470588
29.0,6,4,4,0.550952380952381
14.0,4,1,8,0.5475431001746791
57.0,4,1,14,0.5418978605935127
37.0,6,4,11,0.5345423513534968
1.0,8,3,13,0.534212715389186
26.0,10,1,15,0.5285714285714286
54.0,2,1,3,0.5222871246400659
56.0,10,4,7,0.5169298245614035
42.0,10,1,12,0.5142857142857142
46.0,4,1,15,0.5129686962504301
38.0,6,1,10,0.5119568151147098
34.0,2,1,13,0.5118954248366012
4.0,6,3,7,0.5073809523809524
47.0,2,1,1,0.47584415584415585
