ch_number,tol,max_iter,l1_ratio,C,f1-score
14.0,5e-05,1000,0.8,10,0.7069659442724457
51.0,0.0001,200,0,0.1,0.7031746031746031
1.0,0.0002,1000,0.8,0.1,0.6916533758639021
42.0,2e-05,400,0.8,0.2,0.6736842105263158
2.0,2e-05,100,0.6,0.1,0.6591675266597867
28.0,0.0002,750,1,0.1,0.6509803921568627
11.0,0.001,100,0.8,1,0.6499960308009843
19.0,2e-05,100,0.8,0.2,0.6395626748029494
8.0,0.0005,1000,0.8,5,0.6338178780284044
39.0,0.0002,1000,1,0.1,0.6286274509803922
0.0,0.0005,400,0.4,0.1,0.6195223352498894
10.0,5e-05,750,1,0.1,0.6185083028426682
18.0,0.0005,100,0.4,0.1,0.6161365981799418
47.0,0.0002,100,1,0.5,0.6127652464494568
20.0,0.001,400,1,1,0.6118514530144628
7.0,0.0005,1000,0.8,0.5,0.6088306337027565
17.0,2e-05,400,0,5,0.6083116883116884
13.0,0.001,100,1,0.1,0.6029072681704262
6.0,0.0001,100,0.4,5,0.5996536796536797
58.0,0.001,100,0.8,2,0.5971158958001063
15.0,0.001,100,0.6,0.5,0.5899945943289596
24.0,5e-05,750,0.2,0.1,0.5898135396856625
56.0,0.0005,400,0.6,0.2,0.5888367978770457
44.0,0.0001,750,0.2,0.2,0.5888266119845067
3.0,2e-05,1000,0.6,0.1,0.5876045523104347
54.0,0.0005,1000,1,0.1,0.5847619047619047
45.0,5e-05,750,0.6,0.5,0.5825249398004816
27.0,0.0005,1000,0.8,0.5,0.5819047619047619
26.0,0.0005,1000,1,0.1,0.5806599832915623
40.0,2e-05,750,1,2,0.5805336871590742
33.0,2e-05,1000,0.2,0.5,0.5755555555555556
30.0,2e-05,100,1,0.2,0.5741889483065954
52.0,0.0001,100,0.8,5,0.5714138286893705
50.0,0.0002,400,0.6,1,0.5697076023391812
32.0,0.0005,200,0.8,0.1,0.568939393939394
35.0,5e-05,100,1,0.5,0.5687581699346407
12.0,0.0001,750,0.6,0.1,0.56265565875473
29.0,0.0002,1000,0.4,2,0.5604248366013073
4.0,0.0001,100,0.6,0.1,0.5574603174603174
36.0,0.0002,200,1,0.1,0.5532026143790849
5.0,0.001,1000,1,0.1,0.5485242518059856
22.0,0.0001,400,0.8,0.1,0.5476890756302522
48.0,0.001,1000,0.2,1,0.547093223254214
46.0,2e-05,750,1,0.1,0.5410349402919061
25.0,0.0001,100,0.8,0.1,0.5349977507872244
34.0,0.0002,750,1,0.1,0.5349874686716791
38.0,0.0001,100,1,0.1,0.532717086834734
53.0,0.0002,1000,0.6,0.1,0.5142525998253553
21.0,0.0002,750,0.6,0.1,0.5137795575896262
16.0,0.0002,1000,0,1,0.5109241635557424
23.0,0.0002,100,0.6,0.1,0.5081916913495861
43.0,0.0001,200,0,0.2,0.5042601388381439
55.0,0.0002,100,0.8,0.1,0.5021671826625387
9.0,2e-05,400,0.6,0.2,0.48033273915626856
57.0,0.001,1000,1,0.1,0.46238512949039273
49.0,0.001,1000,0.8,0.1,0.45976608187134504
37.0,0.0001,1000,0.6,1,0.4396815568332596
31.0,0.0001,100,1,0.2,0.4355948695267581
41.0,0.0001,100,0.8,5,0.41391941391941395
